"type","prov","dwar","week","rr","lci","uci","deaths","attr","attr_low","attr_hi"
"Firearms","Ilocos Sur","2018-40",127,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-41",128,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-42",129,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-43",130,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-44",131,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-45",132,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-46",133,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-47",134,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-48",135,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-49",136,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-50",137,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-51",138,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2018-52",139,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-01",140,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-02",141,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-03",142,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-04",143,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-05",144,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-06",145,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-07",146,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-08",147,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-09",148,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-10",149,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-11",150,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-12",151,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-13",152,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-14",153,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-15",154,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-16",155,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-17",156,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-18",157,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-19",158,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-20",159,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-21",160,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-22",161,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-23",162,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-24",163,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-25",164,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-26",165,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-27",166,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-28",167,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-29",168,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-30",169,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-31",170,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-32",171,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-33",172,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-34",173,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-35",174,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-36",175,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-37",176,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-38",177,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-39",178,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-40",179,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-41",180,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-42",181,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-43",182,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-44",183,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-45",184,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-46",185,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-47",186,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-48",187,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-49",188,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-50",189,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-51",190,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2019-52",191,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2020-01",192,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2020-02",193,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2020-03",194,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2020-04",195,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-18",1,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-19",2,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-20",3,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-21",4,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-22",5,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-23",6,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-24",7,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-25",8,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-26",9,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-27",10,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-28",11,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-29",12,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-30",13,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-31",14,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-32",15,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-33",16,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-34",17,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-35",18,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-36",19,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-37",20,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-38",21,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-39",22,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-40",23,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-41",24,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-42",25,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-43",26,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-44",27,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-45",28,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-46",29,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-47",30,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-48",31,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-49",32,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-50",33,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-51",34,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2016-52",35,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-01",36,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-02",37,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-03",38,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-04",39,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-05",40,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-06",41,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-07",42,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-08",43,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-09",44,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-10",45,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-11",46,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-12",47,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-13",48,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-14",49,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-15",50,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-16",51,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-17",52,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-18",53,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-19",54,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-20",55,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-21",56,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-22",57,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-23",58,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-24",59,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-25",60,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-26",61,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-27",62,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-28",63,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-29",64,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-30",65,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-31",66,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-32",67,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-33",68,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-34",69,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-35",70,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-36",71,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-37",72,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-38",73,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-39",74,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-40",75,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-41",76,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-42",77,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-43",78,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-44",79,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-45",80,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-46",81,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-47",82,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-48",83,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-49",84,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-50",85,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-51",86,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2017-52",87,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-01",88,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-02",89,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-03",90,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-04",91,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-05",92,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-06",93,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-07",94,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-08",95,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-09",96,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-10",97,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-11",98,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-12",99,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-13",100,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-14",101,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-15",102,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-16",103,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-17",104,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-18",105,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-19",106,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-20",107,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-21",108,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-22",109,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-23",110,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-24",111,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-25",112,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-26",113,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-27",114,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-28",115,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-29",116,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-30",117,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-31",118,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-32",119,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-33",120,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-34",121,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-35",122,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-36",123,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-37",124,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-38",125,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-39",126,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-40",127,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-41",128,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-42",129,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-43",130,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-44",131,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-45",132,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-46",133,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-47",134,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-48",135,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-49",136,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-50",137,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-51",138,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2018-52",139,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-01",140,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-02",141,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-03",142,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-04",143,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-05",144,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-06",145,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-07",146,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-08",147,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-09",148,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-10",149,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-11",150,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-12",151,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-13",152,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-14",153,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-15",154,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-16",155,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-17",156,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-18",157,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-19",158,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-20",159,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-21",160,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-22",161,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-23",162,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-24",163,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-25",164,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-26",165,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-27",166,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-28",167,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-29",168,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-30",169,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-31",170,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-32",171,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-33",172,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-34",173,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-35",174,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-36",175,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-37",176,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-38",177,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-39",178,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-40",179,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-41",180,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-42",181,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-43",182,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-44",183,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-45",184,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-46",185,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-47",186,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-48",187,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-49",188,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-50",189,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-51",190,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2019-52",191,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2020-01",192,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2020-02",193,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2020-03",194,NA,NA,NA,NA,NA,NA,NA
"Firearms","La Union","2020-04",195,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-18",1,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-19",2,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-20",3,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-21",4,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-22",5,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-23",6,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-24",7,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-25",8,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-26",9,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-27",10,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-28",11,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-29",12,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-30",13,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-31",14,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-32",15,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-33",16,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-34",17,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-35",18,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-36",19,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-37",20,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-38",21,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-39",22,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-40",23,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-41",24,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-42",25,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-43",26,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-44",27,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-45",28,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-46",29,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-47",30,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-48",31,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-49",32,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-50",33,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-51",34,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2016-52",35,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-01",36,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-02",37,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-03",38,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-04",39,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-05",40,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-06",41,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-07",42,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-08",43,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-09",44,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-10",45,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-11",46,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-12",47,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-13",48,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-14",49,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-15",50,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-16",51,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-17",52,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-18",53,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-19",54,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-20",55,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-21",56,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-22",57,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-23",58,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-24",59,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-25",60,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-26",61,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-27",62,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-28",63,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-29",64,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-30",65,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-31",66,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-32",67,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-33",68,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-34",69,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-35",70,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-36",71,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-37",72,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-38",73,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-39",74,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-40",75,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-41",76,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-42",77,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-43",78,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-44",79,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-45",80,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-46",81,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-47",82,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-48",83,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-49",84,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-50",85,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-51",86,NA,NA,NA,NA,NA,NA,NA
"Firearms","Pangasinan","2017-52",87,NA,NA,NA,NA,NA,NA,NA
